id,name,type,typecode,location_x,location_y,adname
B000A9LFJZ,天坛公园-内坛,风景名胜;风景名胜;风景名胜,110200,116.413485,39.875276,东城区
B0FFF5BY58,庆丰公园-东园,风景名胜;公园广场;公园,110101,116.468573,39.904026,朝阳区
B0FFFSZKEH,地坛公园-地坛庙会,风景名胜;风景名胜相关;旅游景点,110000,116.416041,39.952949,东城区
B000A7QH50,宋庄文化公园,风景名胜;公园广场;公园,110101,116.699219,39.955037,通州区
B0FFIACLAK,大通滨河公园(建设中),风景名胜;风景名胜相关;旅游景点,110000,116.44063,39.902148,东城区
B0FFFQ0BF6,北海公园船渡,风景名胜;风景名胜;风景名胜,110200,116.390243,39.923264,西城区
B0FFFQ0AWC,北海公园-龙光,风景名胜;风景名胜;风景名胜,110200,116.3894,39.924821,西城区
B0FFFQ0AWD,北海公园-达意,风景名胜;风景名胜;风景名胜,110200,116.3891,39.924875,西城区
B000A8XD4H,东小口森林公园,风景名胜;公园广场;公园|风景名胜;风景名胜;风景名胜,110101|110200,116.388632,40.048414,昌平区
B000A8867X,平庄郊野公园,风景名胜;公园广场;公园,110101,116.241051,39.944446,海淀区
B000A9PI37,北海公园-引胜,风景名胜;风景名胜;风景名胜,110200,116.389437,39.924873,西城区
B0FFFFK2MC,北海公园-昆仑,风景名胜;风景名胜;风景名胜,110200,116.389355,39.924959,西城区
B0FFHHBSM5,朝阳公园-首长植树林,风景名胜;风景名胜相关;旅游景点,110000,116.475353,39.936823,朝阳区
B000A844XO,北京朝来森林公园,风景名胜;风景名胜;风景名胜,110200,116.454246,40.031096,朝阳区
B000A9PHUV,北海公园-云岫,风景名胜;风景名胜;风景名胜,110200,116.392699,39.928666,西城区
B0FFGPBZ5Q,昌平新城滨河森林公园,风景名胜;公园广场;公园,110101,116.299602,40.131512,昌平区
B0FFG96EU3,半塔郊野公园,风景名胜;公园广场;公园,110101,116.395409,40.088774,昌平区
