,id,name,type,typecode,location_x,location_y,adname
300,B000A87KDJ,味西餐厅,餐饮服务;外国餐厅;西餐厅(综合风味),050201,116.352780,39.882221,西城区
301,B000A8540J,食家鸽园,餐饮服务;中餐厅;中餐厅,050100,116.210655,40.239789,昌平区
302,B000AA6XXE,西贝莜面村(六里桥店),餐饮服务;中餐厅;西北菜,050115,116.304348,39.882442,丰台区
303,B000AAC618,小尕子新疆之瘾(北京市百货大楼),餐饮服务;中餐厅;清真菜馆,050121,116.410282,39.913820,东城区
304,B000A8XGTD,成都美食(亦庄店),餐饮服务;中餐厅;四川菜(川菜),050102,116.531946,39.812746,大兴区
305,B000A8UU11,天赐福云南过桥米线(古城小街)(装修中),餐饮服务;中餐厅;特色/地方风味餐厅,050118,116.189199,39.911583,石景山区
306,B000A8VWCY,丽江庭院之柔软时光(鼓楼店),餐饮服务;中餐厅;中餐厅,050100,116.395687,39.945167,东城区
307,B000A7XDT8,鲜入唯煮(金宝街店),餐饮服务;中餐厅;火锅店,050117,116.420419,39.916511,东城区
308,B000A91WNJ,蓝钻国际美食自助百汇(西直门店),餐饮服务;中餐厅;中餐厅,050100,116.350075,39.943650,海淀区
309,B000A7C1YN,懋林居,餐饮服务;中餐厅;中餐厅,050100,116.331465,39.907895,海淀区
310,B000A2D3C0,卷子王华盛园鱼锅,餐饮服务;中餐厅;中餐厅,050100,117.118839,40.133487,平谷区
311,B000A7CEKV,大白鲨美食港(八里庄路),餐饮服务;中餐厅;中餐厅,050100,116.496159,39.916074,朝阳区
312,B0FFHJFOBM,外婆家(恒泰店),餐饮服务;中餐厅;浙江菜,050106,116.304531,39.866237,丰台区
313,B000A84JIY,淮扬村(京徐店),餐饮服务;中餐厅;江苏菜,050105,116.352894,39.885963,西城区
314,B000A88DOF,滇菌王(元大都店),餐饮服务;中餐厅;中餐厅,050100,116.425881,39.976790,朝阳区
315,B000A8W3X1,豪尚豪牛排馆(双井店),餐饮服务;外国餐厅;西餐厅(综合风味),050201,116.460950,39.892782,朝阳区
316,B000A85O5W,新月斋(豆瓣胡同),餐饮服务;中餐厅;清真菜馆,050121,116.432256,39.928181,东城区
317,B000A7BBQ5,羊·坊涮肉,餐饮服务;中餐厅;火锅店,050117,116.398110,39.940698,东城区
318,B000A9I404,凰宫,餐饮服务;中餐厅;广东菜(粤菜),050103,116.414134,39.928195,东城区
319,B000A8U6E7,金紫荆园餐厅,餐饮服务;中餐厅;东北菜,050113,116.330471,39.931361,海淀区
320,B000A4A0A1,鼎泰楼烤鸭店(延庆店),餐饮服务;中餐厅;特色/地方风味餐厅,050118,115.980430,40.469868,延庆区
321,B000A7Q8IT,瑞丰鼎,餐饮服务;中餐厅;湖南菜(湘菜),050108,116.279761,39.868453,丰台区
322,B0FFH9Q9BK,三江三味灶合鱼,餐饮服务;中餐厅;海鲜酒楼,050119,116.567971,40.078860,顺义区
323,B000A9JJYR,老北京冰糖葫芦(东升大厦店),餐饮服务;快餐厅;快餐厅,050300,116.333528,39.993938,海淀区
324,B000A7GXO7,京风汇香饺子馆(惠新店),餐饮服务;中餐厅;特色/地方风味餐厅,050118,116.417083,39.981829,朝阳区
325,B000A88IS9,北京利苑酒家(中环世贸店),餐饮服务;中餐厅;广东菜(粤菜),050103,116.456469,39.907023,朝阳区
326,B0FFHCD8ZN,京门老爆三(方庄店),餐饮服务;中餐厅;火锅店|餐饮服务;中餐厅;清真菜馆,050117|050121,116.445182,39.867159,朝阳区
327,B000A7WBNU,便宜坊烤鸭店(安华店),餐饮服务;中餐厅;老字号,050116,116.388493,39.967694,西城区
328,B000AA1A6N,北门涮肉(南锣鼓巷店),餐饮服务;中餐厅;火锅店,050117,116.405638,39.933299,东城区
329,B000A80O07,北京双井轩海鲜饺子食府(双井店),餐饮服务;中餐厅;特色/地方风味餐厅,050118,116.455463,39.894023,朝阳区
330,B000A87ZU9,毛家湘菜(南口镇店),餐饮服务;中餐厅;湖南菜(湘菜),050108,116.123933,40.234583,昌平区
331,B000A853PO,褡裢火烧(护国寺街),餐饮服务;中餐厅;特色/地方风味餐厅,050118,116.376110,39.935154,西城区
332,B000A8WV3Q,正院珍味鲜海鲜火锅店,餐饮服务;中餐厅;火锅店,050117,116.326493,39.933500,海淀区
333,B000A87O5K,石磨房酒楼,餐饮服务;中餐厅;综合酒楼,050101,116.544362,39.898301,朝阳区
334,B000A88IZA,小吊梨汤(和平里店),餐饮服务;中餐厅;中餐厅,050100,116.425839,39.961820,朝阳区
335,B000A7XSA0,世纪金源大饭店海鲜自助餐厅(远大路店),餐饮服务;外国餐厅;日本料理,050202,116.280685,39.953247,海淀区
336,B000A52390,湖湘情湘菜馆(马连道店),餐饮服务;中餐厅;湖南菜(湘菜),050108,116.331628,39.884730,西城区
337,B000A464D6,新街口烤鸭店,餐饮服务;中餐厅;特色/地方风味餐厅,050118,116.372431,39.946070,西城区
338,B000A8ZKOW,清真兰州老马拉面(安定店),餐饮服务;中餐厅;清真菜馆|餐饮服务;中餐厅;特色/地方风味餐厅,050121|050118,116.492752,39.619703,大兴区
339,B000A84EYY,新穗港龙粤菜馆,餐饮服务;中餐厅;广东菜(粤菜),050103,116.349629,39.842559,丰台区
340,B000A8VNCQ,田老师红烧肉(科实大厦店),餐饮服务;快餐厅;快餐厅,050300,116.311616,40.034926,海淀区
341,B000A85GI2,田老师红烧肉(知春里店),餐饮服务;快餐厅;快餐厅,050300,116.324960,39.977038,海淀区
